cell,family,seed,base_ed2,mod_ed2,base_sw1,mod_sw1,base_time,base_cens,mod_time,mod_cens,base_pairs,mod_pairs,base_div,mod_div
H-1d-K4-eq/missing,gauss,15,0.005149730181151835,0.004384778006616408,0.0863316587692249,0.07917669285343033,73,0,60,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,16,0.003547694918326627,0.002976264935970585,0.06840594885972116,0.06163819323541829,96,0,82,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,17,0.003786124736853136,0.0032870933016309056,0.07389134787347382,0.06753808483269211,83,0,68,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,18,0.002873432018771327,0.0023942098375484555,0.058506497358973925,0.05241778871428635,73,0,62,0,2150400,2150400,0,0
H-1d-K4-eq/missing,gauss,19,0.0035594144491575275,0.00323001288886382,0.06478294698128162,0.06028957797875699,82,0,77,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,0,0.0038364270433683956,0.0031058382626232284,0.06664040632695738,0.05744655029796098,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,1,0.011148212075833497,0.008005030957503267,0.12518622069602298,0.10131796760081332,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,2,0.0076789532026111385,0.005805449274349561,0.10004139695767406,0.08415529391025067,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,3,0.0017987918670414604,0.0018802774648343235,0.04293961694626137,0.042638780000451446,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,4,0.006308217517642989,0.005366900728869917,0.09813385002028474,0.09045276001348852,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,5,0.006085826313766418,0.004325776686759264,0.08570126875248024,0.0665556234043054,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,6,0.0025455326213728036,0.0021844749201880287,0.05068447044778886,0.04741442408258162,1,0,1,0,2150400,2150400,0,0
H-1d-K4-eq/covered,gauss,7,0.0024698219217058615,0.002158444378456359,0.05501900287221176,0.05038001085880024,1,0,1,0,2150400,2150400,0,0
