target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,snis,1,4,64,False,4,400,0.03191798000776902,1.0,0.0,0.02026624282012919,-0.45394235231608154,nan,0,108800,0.5706515312194824
equal,snis,1,4,64,False,5,2000,0.20033798781135237,0.75,0.5,0.007078964517279838,0.06134590427715614,0.7102971336687697,0,544000,2.8051319122314453
equal,snis,1,4,64,True,0,400,3.544677239768365,1.0,0.0,0.8302491290260399,0.044056372207611494,nan,0,108800,0.5700061321258545
equal,snis,1,4,64,True,1,2000,11.64079533067759,0.75,0.5,0.7913839340428998,0.014580598903857133,0.9083327458912084,0,544000,2.798901319503784
equal,snis,1,4,64,True,2,400,4.045592138224284,1.0,0.0,0.8701246776316326,0.028673172321792555,nan,0,108800,0.573530912399292
equal,snis,1,4,64,True,3,2000,11.566911346535843,0.75,0.5,1.181240977097703,0.012375654795307004,0.7365082816885776,0,544000,2.8309645652770996
equal,snis,1,4,64,True,4,400,3.724421845180642,1.0,0.0,0.8205572010373161,0.04196846296867444,nan,0,108800,0.629173755645752
equal,snis,1,4,64,True,5,400,2.5053082310360817,1.0,0.0,0.768979280325732,0.21019607678027308,nan,0,108800,0.569251537322998
equal,snis,2,8,16,False,0,2000,0.12953237436828335,1.0,0.5,0.01906866905247183,0.09082996583786662,0.8524784547570243,0,384000,2.810295581817627
equal,snis,2,8,16,False,1,2000,0.10247646938416899,0.75,0.5,0.018034871285877628,0.14292947885756044,0.8731106427788867,0,384000,2.7742207050323486
equal,snis,2,8,16,False,2,400,0.0524365687920062,1.0,0.25,0.01853719260315627,0.027390627238458486,nan,0,76800,0.5694639682769775
equal,snis,2,8,16,False,3,2000,0.14343786301651285,0.75,0.5,0.0174850582786672,0.13254359481523503,0.8143775262247981,0,384000,2.809356212615967
equal,snis,2,8,16,False,4,2000,0.09854619048876156,0.75,0.5,0.019346610809165107,0.0958054499854671,0.7902797595303046,0,384000,2.7973201274871826
equal,snis,2,8,16,False,5,2000,0.2869729646268143,0.75,0.75,0.01627178121702138,0.1206073661738603,0.7985904899051727,0,384000,2.8357937335968018
equal,snis,2,8,16,True,0,400,0.35543396091490187,1.0,0.25,0.20615566893133758,0.4933521511127039,nan,0,76800,0.568439245223999
equal,snis,2,8,16,True,1,400,0.19273736388027662,1.0,0.25,0.11657999094039624,0.1327128576842372,nan,0,76800,0.5723941326141357
equal,snis,2,8,16,True,2,400,0.2726177890086884,1.0,0.0,0.11372574066616241,0.38768844328869706,nan,0,76800,0.5689065456390381
equal,snis,2,8,16,True,3,400,0.2645539490098513,1.0,0.0,0.1541500043469731,0.17070209121454394,nan,0,76800,0.5729596614837646
equal,snis,2,8,16,True,4,400,0.332075812041532,1.0,0.25,0.14125145460052288,0.25510383100449296,nan,0,76800,0.5710763931274414
equal,snis,2,8,16,True,5,400,0.33426604333536314,1.0,0.0,0.14918220703632915,-0.017150084639366764,nan,0,76800,0.5753109455108643
equal,snis,2,8,64,False,0,400,0.03536859109258528,1.0,0.25,0.013711392868319542,0.026398971304095072,nan,0,230400,0.5679643154144287
equal,snis,2,8,64,False,1,2000,0.17622562656574547,1.0,0.75,0.017424525700849694,0.07172906499416218,0.8289184129569468,0,1152000,2.8483755588531494
equal,snis,2,8,64,False,2,2000,0.1374548032014079,0.75,0.5,0.006937374725204928,0.013264509997978347,0.9297877478417989,0,1152000,2.8105857372283936
equal,snis,2,8,64,False,3,2000,0.20637202864878723,0.75,0.75,0.01565430922886038,0.056072388331230884,0.8949042838643259,0,1152000,2.831064462661743
equal,snis,2,8,64,False,4,2000,0.12067189199527062,1.0,0.5,0.009633508107562472,0.0199101359343249,0.8177885887955123,0,1152000,2.843884229660034
equal,snis,2,8,64,False,5,400,0.04091916740248325,1.0,0.25,0.008874278633179529,0.0074293515399423945,nan,0,230400,0.5783770084381104
equal,snis,2,8,64,True,0,400,0.24458492187519576,1.0,0.0,0.18482443693879264,0.37950694257396417,nan,0,230400,0.5855214595794678
equal,snis,2,8,64,True,1,400,0.4156087089935089,1.0,0.0,0.10289101136287353,-0.16231210333626142,nan,0,230400,0.5850667953491211
equal,snis,2,8,64,True,2,400,0.40927522221774415,1.0,0.25,0.09420880009359907,0.24335380186295325,nan,0,230400,0.5867218971252441
equal,snis,2,8,64,True,3,400,0.3680512961628527,1.0,0.0,0.09302458365406667,-0.10622819803341253,nan,0,230400,0.5843756198883057
equal,snis,2,8,64,True,4,400,0.34154398705588906,1.0,0.0,0.0936463272872735,-0.19826453560454196,nan,0,230400,0.6569349765777588
equal,snis,2,8,64,True,5,400,0.273965723385149,1.0,0.25,0.10913249316739618,0.12696924829364375,nan,0,230400,0.6232888698577881
equal,snis,4,16,16,False,0,2000,0.12587109196499358,0.75,0.5,0.018530508568817248,nan,nan,0,1024000,3.1598758697509766
