target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F6-MULTICURVE-05,multiple-curves,historical-online-psqt,0.003339105786504315,0.05238483532264044,0.0735932483849509,nan,nan,nan,0.0,nan,nan,0.0,0.10734529998444486,18440.0,34824.0,0.04910468288907342,0.025756463612688216
CF-F6-MULTICURVE-05,multiple-curves,pooled-rank-kll128,0.0013870265873447973,0.02965770369985872,0.04311851316291178,nan,nan,nan,0.0,nan,nan,0.0,0.028334749993518926,48000.0,72576.0,0.015042564922531,0.0341229873845505
CF-F6-MULTICURVE-05,multiple-curves,pooled-rank-reservoir1024,0.00227175731006779,0.03940959260310854,0.05823858886009644,nan,nan,nan,0.0,nan,nan,0.0,0.030716799999936484,18448.0,296976.0,0.03382528524120834,0.03165335480933207
CF-F6-MULTICURVE-05,multiple-curves,exact-pooled-ceiling,0.0013235457845314214,0.028799109239946226,0.0419791406344679,nan,nan,nan,0.0,nan,nan,0.0,0.0278866000007838,309248.0,5240832.0,0.0,0.03051367468024966
CF-F6-MULTICURVE-06,multiple-curves,paper-tau1,0.009246217189993411,0.07288510376375837,0.1145012870897888,nan,nan,nan,0.0,nan,nan,0.0,0.07916769999428652,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-06,multiple-curves,historical-online-psqt,0.003329377687135704,0.05234536795996879,0.07620071194766945,nan,nan,nan,0.0,nan,nan,0.0,0.1044751500012353,18440.0,34824.0,0.0527628079978949,0.02942776878402107
CF-F6-MULTICURVE-06,multiple-curves,pooled-rank-kll128,0.0014158856552671795,0.028239021357511867,0.04258199733931865,nan,nan,nan,0.0,nan,nan,0.0,0.028352349996566772,48000.0,72576.0,0.016588389525337935,0.03836335742768729
CF-F6-MULTICURVE-06,multiple-curves,pooled-rank-reservoir1024,0.0025144535651118183,0.037206933237655164,0.054052209031598464,nan,nan,nan,0.0,nan,nan,0.0,0.030972249995102175,18448.0,296976.0,0.03623111329239907,0.0366942579158302
CF-F6-MULTICURVE-06,multiple-curves,exact-pooled-ceiling,0.001370915412610696,0.027775333923517494,0.042236788823280774,nan,nan,nan,0.0,nan,nan,0.0,0.027611949990387075,309248.0,5240832.0,0.0,0.03585901968220907
CF-F6-MULTICURVE-07,multiple-curves,paper-tau1,0.007633743374626634,0.05702010315552125,0.0813085459148507,nan,nan,nan,0.0,nan,nan,0.0,0.07914820000587497,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-07,multiple-curves,historical-online-psqt,0.0023772500724313916,0.03646437835091732,0.04409965998233773,nan,nan,nan,0.0,nan,nan,0.0,0.10739979999198113,18440.0,34824.0,0.02574965201602355,0.018356983962909475
CF-F6-MULTICURVE-07,multiple-curves,pooled-rank-kll128,0.001431238244667954,0.024000672397610882,0.031155445682459496,nan,nan,nan,0.0,nan,nan,0.0,0.028310850000707433,48000.0,72576.0,0.00976362908755753,0.022189721147949523
CF-F6-MULTICURVE-07,multiple-curves,pooled-rank-reservoir1024,0.0019074852629945571,0.029656686117655984,0.03754903387342521,nan,nan,nan,0.0,nan,nan,0.0,0.03145249998487998,18448.0,296976.0,0.02416816910950635,0.02005715461061708
CF-F6-MULTICURVE-07,multiple-curves,exact-pooled-ceiling,0.001380989494314644,0.023653830153798683,0.030514593035726362,nan,nan,nan,0.0,nan,nan,0.0,0.027421899998444133,309248.0,5240832.0,0.0,0.019300384705168802
CF-F7-SKEW-00,skew-heavy,paper-tau1,0.0087532785445823,0.06537697819535093,0.12993917515127823,nan,nan,nan,0.0,nan,nan,0.0,0.08325450001575518,1024.0,2048.0,nan,nan
CF-F7-SKEW-00,skew-heavy,historical-online-psqt,0.0018470497637455008,0.043693426877639635,0.09862311907373791,nan,nan,nan,0.0,nan,nan,0.0,0.10762369999429211,18440.0,34824.0,0.044514170753121016,0.030205818292787425
CF-F7-SKEW-00,skew-heavy,pooled-rank-kll128,0.0016148868182653264,0.03227621975777471,0.06751270504704837,nan,nan,nan,0.0,nan,nan,0.0,0.028534650002256967,48000.0,72576.0,0.048399323508717104,0.07021865702275391
CF-F7-SKEW-00,skew-heavy,pooled-rank-reservoir1024,0.001966129030149366,0.03767164641971768,0.07414159986158589,nan,nan,nan,0.0,nan,nan,0.0,0.033166349996463396,18448.0,296976.0,0.033894310707000774,0.05362283175222117
