stream,order,repeat,implementation,chunks,merged,n,retained_items,serialized_bytes,max_rank_error,mean_rank_error,quantile_rmse,monotone,observed_support,serialized_replay
student-t3,shuffled,11,local-fixed-capacity,1,0,19200,75,300,0.012499999999999956,0.00597412109375,0.7729138731956482,1,1,1
student-t3,shuffled,-1,apache,17,0,19200,344,1436,0.010729166666666679,0.004436035156250004,0.08665024489164352,1,1,1
student-t3,shuffled,-2,apache,17,1,19200,353,1468,0.008437499999999987,0.00307535807291667,0.09648020565509796,1,1,1
student-t3,ascending,0,apache,1,0,19200,344,1436,0.00463541666666667,0.0013631184895833363,0.025771761313080788,1,1,1
student-t3,ascending,0,local-fixed-capacity,1,0,19200,75,300,0.009583333333333388,0.004003092447916668,0.19522899389266968,1,1,1
student-t3,ascending,1,apache,1,0,19200,344,1436,0.005416666666666681,0.0016373697916666676,0.2147940695285797,1,1,1
student-t3,ascending,1,local-fixed-capacity,1,0,19200,75,300,0.010781249999999992,0.004658203124999998,0.4458444118499756,1,1,1
student-t3,ascending,2,apache,1,0,19200,344,1436,0.005729166666666674,0.0016113281250000008,0.027926530689001083,1,1,1
student-t3,ascending,2,local-fixed-capacity,1,0,19200,75,300,0.008333333333333304,0.0035489908854166655,0.11992195248603821,1,1,1
student-t3,ascending,3,apache,1,0,19200,344,1436,0.005312499999999998,0.0014632161458333342,0.03499657288193703,1,1,1
student-t3,ascending,3,local-fixed-capacity,1,0,19200,75,300,0.011927083333333338,0.005486653645833335,0.5813243389129639,1,1,1
student-t3,ascending,4,apache,1,0,19200,344,1436,0.0049479166666667185,0.001513671875000003,0.03780302405357361,1,1,1
student-t3,ascending,4,local-fixed-capacity,1,0,19200,75,300,0.007239583333333299,0.0033439127604166672,0.07897471636533737,1,1,1
student-t3,ascending,5,apache,1,0,19200,344,1436,0.007395833333333324,0.0022762044270833327,0.09752533584833145,1,1,1
student-t3,ascending,5,local-fixed-capacity,1,0,19200,75,300,0.012968750000000001,0.006410319010416665,1.802865982055664,1,1,1
student-t3,ascending,6,apache,1,0,19200,344,1436,0.004218749999999993,0.001330566406249996,0.044989559799432755,1,1,1
student-t3,ascending,6,local-fixed-capacity,1,0,19200,75,300,0.012239583333333304,0.0057462565104166655,0.6518636345863342,1,1,1
student-t3,ascending,7,apache,1,0,19200,344,1436,0.00463541666666667,0.0012556966145833301,0.0519668348133564,1,1,1
student-t3,ascending,7,local-fixed-capacity,1,0,19200,75,300,0.009479166666666705,0.003956705729166668,0.1929880976676941,1,1,1
student-t3,ascending,8,apache,1,0,19200,344,1436,0.005520833333333308,0.0016967773437499968,0.07317248731851578,1,1,1
student-t3,ascending,8,local-fixed-capacity,1,0,19200,75,300,0.007135416666666616,0.003334147135416668,0.07936301082372665,1,1,1
student-t3,ascending,9,apache,1,0,19200,344,1436,0.007552083333333348,0.0019319661458333305,0.06598163396120071,1,1,1
student-t3,ascending,9,local-fixed-capacity,1,0,19200,75,300,0.009374999999999994,0.003911132812500002,0.22401069104671478,1,1,1
student-t3,ascending,10,apache,1,0,19200,344,1436,0.0044270833333333315,0.001368001302083331,0.0481741838157177,1,1,1
student-t3,ascending,10,local-fixed-capacity,1,0,19200,75,300,0.007656250000000003,0.003400878906250001,0.12440314143896103,1,1,1
student-t3,ascending,11,apache,1,0,19200,344,1436,0.004375000000000018,0.001265462239583331,0.02372800000011921,1,1,1
student-t3,ascending,11,local-fixed-capacity,1,0,19200,75,300,0.01098958333333333,0.004794108072916664,0.3169337809085846,1,1,1
student-t3,ascending,-1,apache,17,0,19200,344,1436,0.004322916666666666,0.0013574218750000016,0.03649700805544853,1,1,1
student-t3,ascending,-2,apache,17,1,19200,353,1468,0.003697916666666634,0.0010400390624999989,0.04363466799259186,1,1,1
student-t3,alternating-extremes,0,apache,1,0,19200,344,1436,0.0067708333333333336,0.003253580729166664,0.07149675488471985,1,1,1
